%eval_id interface             z1             z2            max 
1            NO_ID    1.178011381    2.811777859          -2.54 
2            NO_ID    1.855084717    0.923809337          -2.57 
3            NO_ID    2.715524065   -0.526790917          -2.75 
4            NO_ID    2.366431128    1.978271369          -2.86 
5            NO_ID   -1.091036618   -2.516867323          -2.33 
6            NO_ID   -2.034813108    1.666851513          -2.28 
7            NO_ID  -0.5911914393  -0.9418841838          -2.23 
8            NO_ID   0.2587068692   -1.895921373          -2.19 
9            NO_ID  -0.7987111286   0.2902981821          -2.24 
10           NO_ID    2.077437536    2.971838953          -2.86 
11           NO_ID   -1.149876235   -1.993159752          -2.31 
12           NO_ID   -1.663683862    1.098356573          -2.27 
13           NO_ID  -0.9831987352    2.313147787          -2.27 
14           NO_ID  -0.6905383338  -0.0821483093          -2.23 
15           NO_ID   -1.277537552   -1.285178639          -2.29 
16           NO_ID    1.290344956    1.056822437          -2.41 
17           NO_ID   -1.838633961     -1.4620796          -2.36 
18           NO_ID  -0.7791510174   -1.049076389          -2.25 
19           NO_ID    1.480571051   -2.416527912           -2.2 
20           NO_ID   0.8370943707    2.662205209          -2.44 
21           NO_ID   0.9337474891   0.7288842565          -2.31 
22           NO_ID   0.5067638627   -2.152802484          -2.18 
23           NO_ID    2.969026853   -1.668339179          -2.74 
24           NO_ID   -1.433507245  -0.4474309302          -2.27 
25           NO_ID   -0.029138572   -2.084282268          -2.22 
26           NO_ID  -0.5142103328    1.263826158          -2.25 
27           NO_ID  -0.6514929672    1.570333218          -2.26 
28           NO_ID    1.110013269    0.965669889          -2.36 
29           NO_ID    2.601385806    2.217906985          -2.98 
30           NO_ID   -1.613352978    2.402033401          -2.26 
31           NO_ID    2.868383213   -2.706161607          -2.59 
32           NO_ID   -2.458879258  -0.4100180682          -2.38 
33           NO_ID 0.003067564694    1.773038516          -2.29 
34           NO_ID    2.443214232   -2.174807716          -2.49 
35           NO_ID   -2.951413567   -0.818384475          -2.49 
36           NO_ID   -2.284953543   -1.973103991          -2.46 
37           NO_ID     1.07576877   -1.745849894          -2.19 
38           NO_ID   -0.957716468    1.349891458          -2.25 
39           NO_ID   -2.222067697    2.730169152          -2.28 
40           NO_ID   -1.443574851    2.875082819          -2.27 
41           NO_ID    1.996360424   -1.616762657           -2.4 
42           NO_ID    2.558197109   -2.308503445          -2.52 
43           NO_ID    1.791367303 -0.03776073892          -2.46 
44           NO_ID   -2.609519307  -0.1697596832          -2.39 
45           NO_ID   -1.763961128   -1.136042195          -2.33 
46           NO_ID   -1.974035216  -0.6207711414          -2.33 
47           NO_ID   -2.343152728   -1.543484317          -2.44 
48           NO_ID    1.551563067  -0.6939164945          -2.34 
49           NO_ID    1.386029711    2.552209392          -2.58 
50           NO_ID    1.872380965    1.739385008          -2.65 
51           NO_ID    2.159145905    2.890164969          -2.88 
52           NO_ID     -1.2500969   0.4585828594          -2.25 
53           NO_ID   -2.641661886   -1.249124146          -2.47 
54           NO_ID   0.3351679906    1.461467854           -2.3 
55           NO_ID  -0.1323124272   -2.813531793          -2.25 
56           NO_ID  -0.8992515456   0.6577382618          -2.24 
57           NO_ID    -2.73385706   0.3825719279          -2.38 
58           NO_ID    2.654980672   0.1783963456          -2.79 
59           NO_ID    1.230869114    1.844813564          -2.46 
60           NO_ID     2.88392961   0.4925722123          -2.92 
61           NO_ID    2.318374176    2.048638601          -2.85 
62           NO_ID     -2.7781287   -2.835704514          -2.64 
63           NO_ID    2.491797359    -0.87364379          -2.63 
64           NO_ID   -2.911192869   -1.855121663          -2.57 
65           NO_ID   -2.090201583   -2.576596741          -2.48 
66           NO_ID    1.953682196   -1.720308033          -2.38 
67           NO_ID    2.227205229   0.3445095444          -2.65 
68           NO_ID    2.160256063   -2.591171483          -2.35 
69           NO_ID   0.1181787549    2.142233412          -2.31 
70           NO_ID   0.7017591737     2.35613334          -2.39 
71           NO_ID    2.778431815  0.04487827014          -2.83 
72           NO_ID   -2.867061103   0.6697800521          -2.39 
73           NO_ID   -1.341475144    2.014799095          -2.26 
74           NO_ID  -0.1060985067    2.592792713          -2.31 
75           NO_ID     1.68423721    0.597942327          -2.48 
76           NO_ID   -2.501782034   0.2372995744          -2.36 
77           NO_ID  -0.4733835582    2.253232389          -2.28 
78           NO_ID  -0.2685834907  -0.7666443913          -2.22 
79           NO_ID   0.9814154707  -0.1955516466          -2.26 
80           NO_ID  -0.4030926076    1.438990643          -2.26 
81           NO_ID   0.1493885122    2.499541349          -2.33 
82           NO_ID   0.7642817048     1.19860529          -2.32 
83           NO_ID   -2.563659307    1.252532503          -2.33 
84           NO_ID   0.4686837393   -2.245814152          -2.18 
85           NO_ID    1.322488855    -2.99804851          -2.15 
86           NO_ID   -1.705835948   -1.005826553          -2.32 
87           NO_ID   -1.523701088   -1.356938244          -2.32 
88           NO_ID   0.3866449462   -2.356788265          -2.18 
89           NO_ID     1.56415566   -1.189557112          -2.31 
90           NO_ID   -1.036775731    1.903064973          -2.26 
91           NO_ID   0.8490533723  0.06978295699          -2.26 
92           NO_ID    0.232265444    1.518104513          -2.29 
93           NO_ID    1.674521481   -2.916202639           -2.2 
94           NO_ID   -2.183453187   0.7900212532          -2.31 
95           NO_ID    -2.13834277  -0.2432460628          -2.34 
96           NO_ID    0.598263822  -0.5897697612          -2.22 
97           NO_ID   0.6212156312   -1.394057089          -2.19 
98           NO_ID    -1.86184746   0.8475628691          -2.28 
